Downlights;;;;;
Supplier;Name;LumenX Name;Product;;
;;;;;
Superlume;Fabric Tape;https://www.superlume.co.za/category/all-products?Product+type=Fabric%20Tape%20Lighting%20Range;;

Outdoor Architectural;;;;
Supplier;Name;Product;;
;;Outdoor Spots;;
LEDsC4;Eko;https://ledsc4.com/en/eko-10141;;
LEDsC4;Cube;https://ledsc4.com/en/cube-spot-10301;;
LEDsC4;Hubble;https://ledsc4.com/en/hubble-10143;;
;;Bollards;;
LEDsC4;Eko;https://ledsc4.com/en/eko-10195;;
LEDsC4;Ele;https://ledsc4.com/en/ele-10311;;
LEDsC4;Modis;https://ledsc4.com/en/modis-10316;;
LEDsC4;Moal;https://ledsc4.com/en/moal-10202;;
LEDsC4;Row;https://ledsc4.com/en/row-10319;;
;;Post top;;
LEDsC4;Ele;https://ledsc4.com/en/ele-10218;;
LEDsC4;Proud;https://ledsc4.com/en/proud-10224;;
LEDsC4;Lyon;https://ledsc4.com/en/lyon-10221;;
LEDsC4;Zig Zag;https://ledsc4.com/en/zigzag-10225;;
LEDsC4;Helion;https://ledsc4.com/en/helion-10219;;
;;In ground;;
LEDsC4;Cube Linear;https://ledsc4.com/en/cube-linear-recessed-10128;;
LEDsC4;Gea Cob;https://ledsc4.com/en/gea-cob-10155;;
;;Wall Lights;;
LEDsC4;Finestra;https://ledsc4.com/en/finestra-10183;;
LEDsC4;Cosmos;https://ledsc4.com/en/cosmos-10172;;
LEDsC4;Afrodita;https://ledsc4.com/en/afrodita-led-10168;;
;;Ceiling Light;;
LEDsC4;Mega;https://ledsc4.com/en/mega-10230;;
;;Pendant;;
LEDsC4;Cisne Colgante;https://ledsc4.com/en/cisne-colgante-10231;;

Outdoor Architectural;;;;
Supplier;Name;Product;;
;;Bollard;;
Superlume;Palm & Coco;https://www.superlume.co.za/category/all-products?Product+type=Fabric%20Tape%20Lighting%20Range;;
Pioled;Fuji Square;https://www.pioledlighting.co.za/product/12w-fuji-ip65-4cct-surface-mount-bollard-square/;;
Pioled;Fuji Round;https://www.pioledlighting.co.za/product/12w-fuji-ip65-4cct-surface-mount-bollard-round/;;
Pioled;Everest Square;https://www.pioledlighting.co.za/product/12w-everest-ip65-4cct-surface-mount-bollard-square/;;
Pioled;Everest Round;https://www.pioledlighting.co.za/product/12w-everest-ip65-4cct-surface-mount-bollard-round/;;
;;Wall Lights;;
Superlume;Square LED Wall;https://www.superlume.co.za/product-page/zod101-led-bl-square-led-wall-light;;
Superlume;Round LED Wall;https://www.superlume.co.za/product-page/zod102-led-bl-coastal-ready-decorative-wall-light;;
;;Post Tops;;
Pioled;Orbit;https://www.pioledlighting.co.za/product/60w-orbit-ip65-post-top-lamp/;;
Pioled;Vista;https://www.pioledlighting.co.za/product/230v-35-20w-vista-led-ip65-post-top/;;
